prior_intl_author
"González, Lucas I"
"Evan, Simon"
"Orlandi, Marcelo"
"Contiero, Jonas"
"Borges, Alexandre"
"Freire, José"
"Novaes, Sérgio"
"Devloo, Phelippe"
"Ferro, Jesus"
"Lobo, Priscilla"
"da Silva, Jerson"
"Neto, Raul"
"Victoria, Reynaldo"
"Carvalho, Ana"
"Possani, Claudio"
"Vieira, Roberval"
"de Brito Cruz , Carlos"
"Lavinas, Lena"
"Leão Rocha, Frederico"
"Alevato do Amaral, Vitor"
"Grin, Monica"
"Bretas da Fonseca, Marcos"
"Foguel, Debora"
"Paiva, Angela"
"da Silva Baptista , Maurício"
"Mitraud, Tiago"
"Ramirez, Jean-Claude"
"Sedrez, Lise"
"Andersen, Amanda"
"Bann, Dwight"
"Marino, Celso"
"Giacheti, Heraldo"
"Pintor dos Reis, Patricia"
"Camacho, Cesar"
"Tessler, Leandro"
"Quelch, John"
"Wei, Lou"
"Bader, Beth"
"Yang, Dali"
"Fang, Lu"
"Wenquing, Tang"
"Hong, Li"
"Jieying, Lin"
"Jun, Bao"
"Hu, Melissa"
"Tang, Xiaowu"
"Zhai, Guoqing"
"Li, Shenghong"
"Sheng, Yadong"
"Li, Song"
"Zhao, Daomu"
"Sheng, Weimin"
"Guoqing, Chen"
"Naijia, Guan"
"Zhang, Gouchuan"
"Ming-Sheng, Wang"
"Hong, Huang"
"Hong, Yang"
"Jieping, Fan"
"Haiyan, Gao"
"Kashala, Gaetan"
"Cheung, Hiu"
"Wei, Lillian"
"Bogeng, Li"
"Dehong, Xu"
"Liu, Zhihong"
"Wang, Shuo"
"Zhou, Xiaohong"
"Hong, Chai"
"Li, Liwen"
"Huaying, Bao"
"Jian, Zhang"
"Lidi, Wang"
"Chen, Zhaoli"
"Ho, Oscar"
"Tam, Wai Lun"
"Yuen-sang, Leung"
"Li, Livai"
"Li, Tao"
"Reva, Tatiana"
"Mi, Gong"
"Peng, Wang"
"Liu, Albee"
"Chen, E-Jun"
"Zhong , Chao-ting"
"HO, Pui-yin"
"Van, Christine"
"Matsui, Martin"
"Poo, Mu-chou"
"Niu, Huayong"
"Sun, William"
"Si, Yuan"
"Tianfu, Wang"
"Quanshui, Zheng"
"Xiaoyang, Zhu"
"Mao, Zhongying"
"Lu, Weimin"
"Tremewan, Christopher"
"Burns, John"
"Ying, Yibin"
"Jing, He"
"Xu, Ning-Sheng"
"Zhu, Chouwen"
"Weibin, Li"
"Cheng, Leonard"
"Kiong Yeoh , Eng"
"Wong, Eliza"
"Fan, Shally"
"Wong, Louis"
"Lo, Ingrid"
"Tamayo, Caridad"
"Camejo, Ariel"
"Aloma Reyna, Yolanda"
"Benor Belay, Solomon"
"Tamiru Alemayehu, Esayas"
"Tafesse Gemeda, Mesfin"
"Dilie Mersha, Tibebu"
"van der Grijp, Paul"
"Barthélemy, Françoise"
"Hittinger, Luc"
"Tavernier, François"
"Alfandary, Isabelle"
"Walker, Jim"
"Mercat-Bruns, Marie"
"Lacroix, Jean-Michel"
"Fodil, Redouane"
"Fereol, Sophie"
"Holuscha, Elisabeth"
"Balli, Volker"
"Hoffmann, Andreas"
"Preuschoff, Susanne "
"Bildhauer, Stefan"
"Paulus, Michael"
"Milanov, Hana"
"Nyarko, Alexander"
"Dodoo, Francis"
"Welbeck, Jennifer"
"Ping-Chen, Hsiung"
"Ni, Yu-Jing"
"Gupta, Marut"
"Jayal, Niraja"
"Meswani, Nikhil"
"Mehta, Pratap Bhanu"
"Pai, Sudha"
"Dusane, Rajiv"
"Suresh, A. K."
"Misra, Anuradha"
"Mukherjee, Chandan"
"Khakhar, Devang"
"Sahni, Varun"
"Chaudhuri, Maitrayee "
"Dharmaputra, Ghafur"
"Ohlmeyer, Jane"
"Hussey, Juliette"
"Enright, Caroline"
"Ryan, Sinéad"
"Turner, Jane"
"Tabarini, Mario"
"Mitsuhashi, Yukari"
"Kishimoto, Kikuo"
"Cross, Jeff"
"Ozawa, Naoki"
"Kokuryo, Jiro"
"Mishima, Yoshinao"
"Takeyama, Masao"
"Sumita, Hideko"
"Yagi, Tohru"
"Matsuoka, Misa"
"Nagakawa, Ai"
"Ayuo, Paul"
"Kachra, Ariff"
"Colin Gascon, Mary"
"Nolazco, Juan"
"Besserer, Federico"
"de Oliveira, Orlandina"
"Nasanbayar, Baavgai"
"Enkhmunkh, Zurgaanjin"
"Luvsanjamts, Lkham"
"Ochirbat, Baatar"
"Bat-Erdene, R."
"Bat-Erdene, R."
"Al Barwani, Thuwayba"
"Voronovskiy, Bogdan"
"Muthiah, Sathiya"
"Chiang, Derek"
"Toh, Bernadette"
"Tee, Bridget"
"Sani, Taufik"
"Kalula, Evance"
"Visser, Danie"
"Nam, Shun-Woo"
"Park, Donghoon"
"Song, Sangyoung"
"Kim, Eun Mee"
"Park, Ihn-hwi"
"Ahn, Narai"
"Lee, Jeongwon"
"Kim, Doseong"
"Choi, Jinmin"
"Park, Sunju"
"Kim, Grace"
"Hyun Kim, Seung"
"Lee, Ki-jeong"
"Yura Kim, Whoi-Yul"
"Ro, Youngsuck"
"Yoon, Ho Joo"
"Park, Hyungji"
"Kim, Hye-Sook"
"Sunwoo, Myoungho"
"Paik, Ungyu"
"Lee, Yun Jung"
"Minhyo Cho, Rosa"
"Park, Ho Bum"
"Cho, Sung Ho"
"Yoo, Hong Joon"
"Lee, Suke Kyu"
"Lee, Soon Nam"
"Kim, BoKyung"
"Chang, Pilwha "
"Kim, Eun-Shil"
"Lee, Kyuree"
"Im, Hyunchae"
"Chae, Hyun Kyung"
"Ham, Young Lim"
"Pai, Chong Sun"
"Park, Seon Ki"
"Chun, JongSerl"
"Choi, Kyunghee"
"Yun, Seunghyun"
"Kim, Minseong"
"Chung, Kyu Sang"
